instname,name
London School of Economics (LSE),LSE
Harvard University,Harvard
Australian National University,ANU
Oxford University,Oxford
University of California-Berkeley,UC Berkeley
Paris School of Economics,PSE
Erasmus University of Rotterdam,Erasmus U
Monash University,Monash
Columbia University,Columbia
Stanford University,Stanford
University of Chicago,Chicago
Massachusetts Institute of Technology (MIT),MIT
University of Nottingham,Nottingham
Cornell University,Cornell
Bocconi University,Bocconi
University of Cambridge,Cambridge
University of Southern California,USC
University of Queensland,Queensland
Toulouse School of Economics (TSE),TSE
Tilburg University,Tilburg
Catholic University of Louvain-la-Neuve,Louvain
Yale University,Yale
Maastricht University,Maastricht
New York University (NYU),NYU
George Mason University,GMU
University College London (UCL),UCL
Michigan State University,Michigan State
University of Wisconsin-Madison,UW Madison
VU University Amsterdam,VU Amsterdam
Federal Institute of Technology Zurich,ETH Zurich
University of Pennsylvania,U Penn
University of Turin,Turin
Princeton University,Princeton
Sciences Po,Sciences Po
Royal University of Groningen,Groningen
University of Illinois at Urbana-Champaign,UIUC
University of Leuven,Leuven
University of Bologna,Bologna
University of Warwick,Warwick
University of Michigan,U Michigan
University of Amsterdam,U Amsterdam
University of Maryland,Maryland
Free University of Brussels,FU Brussels
University of British Columbia,UBC
Purdue University,Purdue
University of Toronto,Toronto
University of California-Davis,UC Davis
Ohio State University,Ohio State
University of Melbourne,U Melbourne
Duke University,Duke
Aarhus University,Aarhus
UNSW Sydney,UNSW Sydney
University of York,York
University of Munich,LMU Munich
Northwestern University,Northwestern
Texas A&M University,Texas A&M
University of Barcelona,U Barcelona
University of California-Los Angeles (UCLA),UCLA
University of Zurich,U Zurich
University of Connecticut,U Conn
Aix-Marseille University,Aix-Marseille
Humboldt University Berlin,HU Berlin
University of Sydney,U Sydney
National University of Singapore (NUS),NUS
University of Essex,Essex
Boston University,Boston U
University of Manchester,Manchester
University of Lisbon,U Lisbon
University of Copenhagen,Copenhagen
Tor Vergata University of Rome,Tor Vergata Rome
Georgia State University,Georgia State
Queen's University,Queen's U
Sapienza University of Rome,Sapienza Rome
Catholic University of the Sacred Heart,CU Sacred Heart
Vanderbilt University,Vanderbilt
WU Vienna University of Economics and Business,WU Vienna
Carlos III University of Madrid,Carlos III Madrid
University of Paris 1,Paris 1
Johns Hopkins University,Johns Hopkins
George Washington University,GWU
Lund University,Lund
Arizona State University,Arizona State
University of Valencia,U Valencia
Iowa State University,Iowa State
University of Sussex,Sussex
Hebrew University of Jerusalem,Hebrew U
University of Oslo,Oslo
Kobe University,Kobe
Washington University in St. Louis,WUSTL
University of Georgia,U Georgia
Athens University of Economics and Business (AUEB),Athens UEB
University of Sheffield,Sheffield
University of Florida,U Florida
University of California-San Diego (UCSD),UCSD
University of the Basque Country,U Basque Country
University of Paris-Nanterre,U Paris-Nanterre
University of Technology Sydney,UT Sydney
Indiana University,Indiana U
Boston College,BC
University of California-Irvine,UC Irvine
